,date,region,trigger,depth,width
0,4/15/2022,Salt Lake,Skier,"5""",
1,4/15/2022,Salt Lake,Skier,"6""",30'
2,4/14/2022,Uintas,,"14""",175'
3,4/14/2022,Salt Lake,Skier,"12""",70'
4,4/13/2022,Logan,Skier,"12""",25'
5,4/12/2022,Salt Lake,Snowboarder,"12""",70'
6,4/12/2022,Salt Lake,Skier,"9""",30'
7,4/12/2022,Salt Lake,Skier,"11""",30'
8,4/12/2022,Salt Lake,Skier,"18""",50'
9,4/8/2022,Logan,Natural,,
10,4/8/2022,Salt Lake,Natural,,
11,4/6/2022,Salt Lake,Natural,,
12,4/5/2022,Salt Lake,Natural,,
13,4/5/2022,Ogden,Unknown,"9""",700'
14,4/2/2022,Skyline,Snowmobiler,4',400'
15,4/2/2022,Skyline,Snowmobiler,"12""",200'
16,4/2/2022,Salt Lake,Skier,"3""",10'
17,3/31/2022,Salt Lake,Natural,,100'
18,3/30/2022,Salt Lake,,,
19,3/30/2022,Salt Lake,Natural,"8""",200'
20,3/29/2022,Salt Lake,,,
21,3/28/2022,Salt Lake,Unknown,,
22,3/28/2022,Logan,Natural,,
23,3/28/2022,Logan,Natural,,
24,3/28/2022,Logan,Natural,,
25,3/27/2022,Logan,Natural,,
26,3/27/2022,Logan,Natural,,
27,3/27/2022,Moab,Natural,,
28,3/27/2022,Logan,Natural,3',100'
29,3/27/2022,Provo,,"20""",60'
30,3/27/2022,Salt Lake,Natural,,
31,3/27/2022,Uintas,Natural,"14""",100'
32,3/27/2022,Provo,Natural,,
33,3/27/2022,Provo,Natural,,
34,3/27/2022,Logan,Natural,,90'
35,3/27/2022,Logan,Natural,2',200'
36,3/27/2022,Logan,Natural,,
37,3/27/2022,Logan,Natural,,
38,3/27/2022,Salt Lake,Natural,,
39,3/27/2022,Provo,Natural,"18""",200'
40,3/26/2022,Skyline,Snowmobiler,3',600'
41,3/26/2022,Provo,Natural,,
42,3/26/2022,Uintas,Unknown,"18""",200'
43,3/26/2022,Salt Lake,Natural,,
44,3/26/2022,Provo,,,
45,3/26/2022,Salt Lake,Unknown,,
46,3/26/2022,Salt Lake,Natural,"16""",35'
47,3/26/2022,Salt Lake,Unknown,,
48,3/26/2022,Salt Lake,Natural,,
49,3/26/2022,Salt Lake,,,
50,3/26/2022,Salt Lake,Natural,"16""",35'
51,3/26/2022,Salt Lake,Unknown,,
52,3/26/2022,Salt Lake,Natural,,
53,3/26/2022,Salt Lake,,,
54,3/26/2022,Salt Lake,Natural,,
55,3/26/2022,Logan,Natural,,350'
56,3/25/2022,Salt Lake,Natural,"16""",50'
57,3/25/2022,Salt Lake,Snowmobiler,"18""",30'
58,3/25/2022,Uintas,Natural,"20""",150'
59,3/25/2022,Provo,Natural,,150'
60,3/25/2022,Salt Lake,Skier,,
61,3/24/2022,Provo,Natural,,50'
62,3/22/2022,Logan,Snowboarder,2',900'
63,3/21/2022,Salt Lake,Natural,"3""",30'
64,3/21/2022,Salt Lake,Skier,"5""",50'
65,3/21/2022,Salt Lake,Snowboarder,,
66,3/21/2022,Provo,Skier,"16""",
67,3/21/2022,Salt Lake,Unknown,"20""",70'
68,3/21/2022,Salt Lake,Skier,"12""",30'
69,3/21/2022,Salt Lake,Snowboarder,"2""",15'
70,3/21/2022,Salt Lake,Skier,"6""",
71,3/21/2022,Salt Lake,Skier,2.5',30'
72,3/20/2022,Salt Lake,Skier,2',60'
73,3/20/2022,Salt Lake,Skier,"3""",15'
74,3/20/2022,Salt Lake,Skier,"6""",30'
75,3/20/2022,Salt Lake,Natural,,
76,3/20/2022,Salt Lake,Skier,2',40'
77,3/20/2022,Salt Lake,Natural,,10'
78,3/20/2022,Logan,Snowmobiler,2',100'
79,3/19/2022,Skyline,Snowmobiler,3',400'
80,3/19/2022,Salt Lake,Skier,"18""",30'
81,3/19/2022,Logan,Snowboarder,2',150'
82,3/19/2022,Provo,Skier,2',60'
83,3/19/2022,Salt Lake,Snowboarder,"18""",80'
84,3/19/2022,Salt Lake,Natural,,
85,3/19/2022,Logan,Snowmobiler,2',175'
86,3/19/2022,Salt Lake,Skier,,10'
87,3/18/2022,Logan,Snowmobiler,2',80'
88,3/18/2022,Logan,Snowmobiler,2',250'
89,3/17/2022,Salt Lake,Natural,2',60'
90,3/17/2022,Salt Lake,Skier,3',200'
91,3/17/2022,Ogden,Natural,,
92,3/16/2022,Uintas,Natural,,
93,3/16/2022,Salt Lake,Natural,"6""",150'
94,3/16/2022,Salt Lake,Unknown,2',70'
95,3/15/2022,Logan,Snowshoer,"10""",200'
96,3/15/2022,Salt Lake,Skier,2',350'
97,3/15/2022,Salt Lake,Skier,"6""",10'
98,3/15/2022,Salt Lake,Skier,2',50'
99,3/14/2022,Uintas,Snowboarder,2',300'
100,3/14/2022,Salt Lake,Skier,,
101,3/14/2022,Salt Lake,Skier,3',600'
102,3/14/2022,Uintas,Snowboarder,2',300'
103,3/14/2022,Salt Lake,Skier,"3""",10'
104,3/14/2022,Uintas,Skier,2',40'
105,3/13/2022,Logan,Natural,,
106,3/13/2022,Southwest,Snowmobiler,"12""",45'
107,3/13/2022,Logan,Natural,"12""",100'
108,3/12/2022,Salt Lake,Snowboarder,2',70'
109,3/12/2022,Uintas,Snowmobiler,3',
110,3/12/2022,Uintas,Snowmobiler,2.5',150'
111,3/12/2022,Salt Lake,Skier,3.5',50'
112,3/12/2022,Logan,Skier,"20""",400'
113,3/12/2022,Uintas,Snowmobiler,3',
114,3/12/2022,Salt Lake,Skier,"20""",125'
115,3/12/2022,Salt Lake,Unknown,"8""",60'
116,3/12/2022,Salt Lake,Natural,,
117,3/12/2022,Salt Lake,Skier,"21""",70'
118,3/12/2022,Ogden,Snowmobiler,"18""",125'
119,3/11/2022,Salt Lake,,,
120,3/11/2022,Ogden,Snowmobiler,2',300'
121,3/11/2022,Salt Lake,Skier,4',150'
122,3/11/2022,Salt Lake,Skier,"18""",300'
123,3/11/2022,Logan,Snowboarder,"12""",200'
124,3/11/2022,Logan,Skier,"18""",200'
125,3/11/2022,Salt Lake,Skier,"20""",150'
126,3/11/2022,Skyline,Snowmobiler,5',800'
127,3/11/2022,Skyline,Snowmobiler,3',600'
128,3/11/2022,Skyline,Snowmobiler,3',500'
129,3/11/2022,Provo,Skier,"18""",50'
130,3/10/2022,Uintas,Natural,,"1,000'"
131,3/10/2022,Provo,Skier,"18""",150'
132,3/10/2022,Salt Lake,Snowmobiler,2.5',70'
133,3/10/2022,Logan,Snowmobiler,"12""",30'
134,3/10/2022,Provo,Unknown,"16""",50'
135,3/10/2022,Salt Lake,Skier,2',500'
136,3/9/2022,Salt Lake,Skier,2',100'
137,3/9/2022,Ogden,Natural,,
138,3/9/2022,Logan,Natural,"12""",400'
139,3/9/2022,Salt Lake,Skier,"20""",600'
140,3/9/2022,Logan,Natural,"18""",500'
141,3/9/2022,Logan,Natural,2',500'
142,3/9/2022,Salt Lake,Skier,"3""",20'
143,3/9/2022,Logan,Natural,,70'
144,3/9/2022,Ogden,Natural,,
145,3/9/2022,Salt Lake,Skier,2',70'
146,3/9/2022,Salt Lake,Natural,"20""","1,000'"
147,3/9/2022,Logan,Natural,"12""",80'
148,3/9/2022,Salt Lake,Snowboarder,2',100'
149,3/9/2022,Salt Lake,Natural,"20""",400'
150,3/9/2022,Logan,Natural,2',500'
151,3/9/2022,Salt Lake,Skier,"3""",20'
152,3/9/2022,Logan,Natural,,70'
153,3/9/2022,Ogden,Natural,,
154,3/9/2022,Salt Lake,Skier,2',70'
155,3/9/2022,Salt Lake,Natural,"20""","1,000'"
156,3/9/2022,Logan,Natural,"12""",80'
157,3/9/2022,Salt Lake,Snowboarder,2',100'
158,3/9/2022,Salt Lake,Natural,"20""",400'
159,3/9/2022,Uintas,Snowmobiler,2',
160,3/8/2022,Salt Lake,Skier,"17""",90'
161,3/8/2022,Salt Lake,Skier,"18""",150'
162,3/8/2022,Uintas,Skier,"12""",30'
163,3/8/2022,Logan,Skier,"12""",70'
164,3/8/2022,Logan,Natural,2',700'
